feature,importance_mean,importance_std
stress_temp_interaction,0.5292536211649003,0.020647469194954558
refractory_temp_interaction,0.10402384089102226,0.01314447966826212
test_temp_k,0.09360206717496813,0.013098898707733059
test_temp_c,0.08672610524585006,0.013970503670947437
avg_atomic_radius_pm,0.02991104937055733,0.005251386847689016
test_temp_fraction_of_solution,0.02485275209706385,0.005065019354611486
gamma_prime_formers_total,0.014499359273929847,0.0025984599745472073
gamma_prime_aging_interaction,0.009699343904215715,0.002617905552296512
stress_mpa,0.006809186236505109,0.0009044296631401961
atomic_radius_mismatch,0.004301146413530965,0.0011324654577923778
Ta,0.0028425641761732623,0.0008091205881024067
avg_electronegativity,0.002504477661275026,0.0007159533000169929
mixing_entropy_r,0.002248420323816759,0.0010505016480912934
cr_al_ratio,0.0017416495245153804,0.0007153687273915015
Al,0.0013054069798601048,0.0007051941840982567
Ni,0.0012419290682113074,0.0004892960216587561
estimated_cost_index,0.001124080803993087,0.0004957877219095666
refractory_total,0.0011203667154528127,0.0012651631072595879
ta_w_ratio,0.0010144834543623013,0.0006739274355348015
Re,0.0007101344308294358,0.0002752593508976333
Cr,0.0006658335502005008,0.00021882161678174169
oxidation_resistance_total,0.0006585477348375127,0.0002044734395053253
estimated_density_g_cm3,0.000486994629715215,0.00022429115145223435
Nb,0.00047633474573503115,0.0005397073324124926
aging_parameter,0.00044169632003383114,0.00023702853092570498
aging_time_log,0.00037075144591476594,0.00022024409289364262
W,0.00027305278806546984,0.0005843941864218261
cooling_rate_log,0.0002075295144076672,0.0002500747200344676
aging_time_h,0.00016855326436977097,0.0002828180017469395
Mo,0.00011299301523584604,0.0002848457094138047
cr_oxidation_temp_interaction,9.497739494827157e-05,0.0002228978286780824
electronegativity_mismatch,4.5156204905992536e-05,0.0004958528372303668
cooling_rate_c_s,2.671071259081892e-05,0.00025827568978891645
solution_time_log,-1.983875016149661e-05,0.00019307422243044987
solution_temp_k,-2.7468914938461042e-05,0.00017522592330284509
aging_temp_k,-0.0001172134442623679,0.00016153601675182803
avg_atomic_weight,-0.00011779714329216567,0.00023887855839765498
solution_time_h,-0.0001300170010362714,0.00017977299367552568
C,-0.00013170069959593522,0.00026791556261869103
solution_temp_c,-0.00016069939151973356,0.0001574917395580874
solution_parameter,-0.0001755393022342469,0.00019462267593878062
B,-0.00019148976850244526,0.00014761378631987173
composition_sum,-0.00019823350991217403,0.00011943924260701853
Ti,-0.0002272292465064496,0.00035153991232603514
Co,-0.00022880926025185822,0.0001571514157815846
al_ti_ratio,-0.0002444436336473052,0.00046451399836479107
co_ni_ratio,-0.0002563336937763394,0.00025302078721378994
temp_gap_solution_aging,-0.0003253621182282701,0.00019473128480320697
aging_temp_c,-0.0003861848749199884,0.00022620743948813688
Hf,-0.00048572918603156934,0.000503762979881625
